央视频道,#genre#
CCTV-13新闻,http://124.78.12.70:8686/rtp/239.45.0.19:5140$上海电信
CCTV-14少儿,http://124.78.12.70:8686/rtp/233.18.204.80:5140$上海电信
CCTV-14少儿,http://124.78.12.70:8686/rtp/239.45.3.23:5140$上海电信
CCTV-14少儿,http://124.78.12.70:8686/rtp/239.45.3.125:5140$上海电信
CCTV-15音乐,http://124.78.12.70:8686/rtp/233.18.204.81:5140$上海电信
CCTV-15音乐,http://124.78.12.70:8686/rtp/239.45.0.20:5140$上海电信
CCTV-15音乐,http://124.78.12.70:8686/rtp/239.45.3.126:5140$上海电信
CCTV-16奥林匹克,http://124.78.12.70:8686/rtp/233.18.204.82:5140$上海电信
CCTV-16奥林匹克,http://124.78.12.70:8686/rtp/239.45.0.10:5140$上海电信
CCTV-16奥林匹克4K,http://124.78.12.70:8686/rtp/233.18.204.114:5140$上海电信
CCTV-16奥林匹克4K,http://124.78.12.70:8686/rtp/239.45.0.12:5140$上海电信
CCTV-17农业农村,http://124.78.12.70:8686/rtp/233.18.204.83:5140$上海电信
CCTV-17农业农村,http://124.78.12.70:8686/rtp/239.45.3.52:5140$上海电信
CCTV-17农业农村,http://124.78.12.70:8686/rtp/239.45.3.251:5140$上海电信
CCTV-4K,http://124.78.12.70:8686/rtp/233.18.204.188:5140$上海电信
CCTV-4K,http://124.78.12.70:8686/rtp/233.18.204.204:5140$上海电信
CCTV-4K,http://124.78.12.70:8686/rtp/239.45.0.55:5140$上海电信
CCTV-4K,http://124.78.12.70:8686/rtp/239.45.1.21:5140$上海电信
CGTN,http://124.78.12.70:8686/rtp/233.18.204.28:5140$上海电信
CGTN,http://124.78.12.70:8686/rtp/239.45.1.194:5140$上海电信
中国教育1台,http://124.78.12.70:8686/rtp/233.18.204.98:5140$上海电信
中国教育1台,http://124.78.12.70:8686/rtp/233.18.204.153:5140$上海电信
中国教育2台,http://124.78.12.70:8686/rtp/233.18.204.154:5140$上海电信
中国教育2台,http://124.78.12.70:8686/rtp/239.45.1.52:5140$上海电信
中国教育4台,http://124.78.12.70:8686/rtp/233.18.204.111:5140$上海电信
中国教育4台,http://124.78.12.70:8686/rtp/239.45.0.21:5140$上海电信
早期教育,http://124.78.12.70:8686/rtp/233.18.204.187:5140$上海电信
早期教育,http://124.78.12.70:8686/rtp/239.45.0.54:5140$上海电信

卫视频道,#genre#
山东卫视,http://124.78.12.70:8686/rtp/233.18.204.91:5140$上海电信
山东卫视,http://124.78.12.70:8686/rtp/239.45.3.238:5140$上海电信
湖南卫视,http://124.78.12.70:8686/rtp/233.18.204.86:5140$上海电信
湖南卫视,http://124.78.12.70:8686/rtp/239.45.3.228:5140$上海电信
浙江卫视,http://124.78.12.70:8686/rtp/233.18.204.84:5140$上海电信
浙江卫视,http://124.78.12.70:8686/rtp/239.45.3.178:5140$上海电信
江苏卫视,http://124.78.12.70:8686/rtp/233.18.204.85:5140$上海电信
江苏卫视,http://124.78.12.70:8686/rtp/239.45.3.177:5140$上海电信
东方卫视,http://124.78.12.70:8686/rtp/239.45.3.61:5140$上海电信
东方卫视,http://124.78.12.70:8686/rtp/239.45.3.146:5140$上海电信
东方卫视,http://124.78.12.70:8686/rtp/233.18.204.51:5140$上海电信
深圳卫视,http://124.78.12.70:8686/rtp/233.18.204.89:5140$上海电信
深圳卫视,http://124.78.12.70:8686/rtp/239.45.3.231:5140$上海电信
北京卫视,http://124.78.12.70:8686/rtp/233.18.204.87:5140$上海电信
北京卫视,http://124.78.12.70:8686/rtp/239.45.3.229:5140$上海电信
广东卫视,http://124.78.12.70:8686/rtp/233.18.204.88:5140$上海电信
广东卫视,http://124.78.12.70:8686/rtp/239.45.3.230:5140$上海电信
广西卫视,http://124.78.12.70:8686/rtp/233.18.204.107:5140$上海电信
广西卫视,http://124.78.12.70:8686/rtp/239.45.0.5:5140$上海电信
东南卫视,http://124.78.12.70:8686/rtp/233.18.204.94:5140$上海电信
东南卫视,http://124.78.12.70:8686/rtp/239.45.1.121:5140$上海电信
海南卫视,http://124.78.12.70:8686/rtp/233.18.204.102:5140$上海电信
海南卫视,http://124.78.12.70:8686/rtp/239.45.1.81:5140$上海电信
河北卫视,http://124.78.12.70:8686/rtp/233.18.204.103:5140$上海电信
河北卫视,http://124.78.12.70:8686/rtp/239.45.1.44:5140$上海电信
河南卫视,http://124.78.12.70:8686/rtp/233.18.204.105:5140$上海电信
河南卫视,http://124.78.12.70:8686/rtp/239.45.0.3:5140$上海电信
湖北卫视,http://124.78.12.70:8686/rtp/233.18.204.92:5140$上海电信
湖北卫视,http://124.78.12.70:8686/rtp/239.45.3.239:5140$上海电信
江西卫视,http://124.78.12.70:8686/rtp/233.18.204.95:5140$上海电信
江西卫视,http://124.78.12.70:8686/rtp/239.45.1.122:5140$上海电信
四川卫视,http://124.78.12.70:8686/rtp/233.18.204.99:5140$上海电信
四川卫视,http://124.78.12.70:8686/rtp/239.45.1.23:5140$上海电信
四川卫视,http://124.78.12.70:8686/rtp/239.45.1.83:5140$上海电信
重庆卫视,http://124.78.12.70:8686/rtp/233.18.204.100:5140$上海电信
重庆卫视,http://124.78.12.70:8686/rtp/239.45.1.84:5140$上海电信
贵州卫视,http://124.78.12.70:8686/rtp/233.18.204.101:5140$上海电信
贵州卫视,http://124.78.12.70:8686/rtp/239.45.1.80:5140$上海电信
云南卫视,http://124.78.12.70:8686/rtp/233.18.204.106:5140$上海电信
云南卫视,http://124.78.12.70:8686/rtp/239.45.0.4:5140$上海电信
云南卫视,http://124.78.12.70:8686/rtp/239.45.3.206:5140$上海电信
天津卫视,http://124.78.12.70:8686/rtp/233.18.204.97:5140$上海电信
天津卫视,http://124.78.12.70:8686/rtp/239.45.1.124:5140$上海电信
安徽卫视,http://124.78.12.70:8686/rtp/233.18.204.93:5140$上海电信
安徽卫视,http://124.78.12.70:8686/rtp/239.45.1.120:5140$上海电信
安徽卫视,http://124.78.12.70:8686/rtp/239.45.3.143:5140$上海电信
辽宁卫视,http://124.78.12.70:8686/rtp/233.18.204.96:5140$上海电信
辽宁卫视,http://124.78.12.70:8686/rtp/239.45.1.123:5140$上海电信
黑龙江卫视,http://124.78.12.70:8686/rtp/233.18.204.90:5140$上海电信
黑龙江卫视,http://124.78.12.70:8686/rtp/239.45.3.232:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/233.18.204.108:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/239.45.0.6:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/239.45.3.248:5140$上海电信
内蒙古卫视,http://124.78.12.70:8686/rtp/233.18.204.217:5140$上海电信
内蒙古卫视,http://124.78.12.70:8686/rtp/239.45.1.238:5140$上海电信
宁夏卫视,http://124.78.12.70:8686/rtp/239.45.1.213:5140$上海电信
山西卫视,http://124.78.12.70:8686/rtp/239.45.0.57:5140$上海电信
山西卫视,http://124.78.12.70:8686/rtp/239.45.1.229:5140$上海电信
陕西卫视,http://124.78.12.70:8686/rtp/239.45.1.232:5140$上海电信
甘肃卫视,http://124.78.12.70:8686/rtp/233.18.204.110:5140$上海电信
甘肃卫视,http://124.78.12.70:8686/rtp/239.45.0.15:5140$上海电信
青海卫视,http://124.78.12.70:8686/rtp/233.18.204.112:5140$上海电信
青海卫视,http://124.78.12.70:8686/rtp/239.45.0.37:5140$上海电信
新疆卫视,http://124.78.12.70:8686/rtp/233.18.204.210:5140$上海电信
新疆卫视,http://124.78.12.70:8686/rtp/239.45.1.116:5140$上海电信
西藏卫视,http://124.78.12.70:8686/rtp/239.45.1.231:5140$上海电信
三沙卫视,http://124.78.12.70:8686/rtp/233.18.204.172:5140$上海电信
三沙卫视,http://124.78.12.70:8686/rtp/239.45.0.56:5140$上海电信
兵团卫视,http://124.78.12.70:8686/rtp/239.45.1.117:5140$上海电信
延边卫视,http://124.78.12.70:8686/rtp/239.45.0.39:5140$上海电信
康巴卫视,http://124.78.12.70:8686/rtp/239.45.1.251:5140$上海电信

数字频道,#genre#
金鹰卡通,http://124.78.12.70:8686/rtp/239.45.0.38:5140$上海电信
金鹰卡通,http://124.78.12.70:8686/rtp/239.45.3.119:5140$上海电信
金鹰卡通,http://124.78.12.70:8686/rtp/239.45.3.233:5140$上海电信
金鹰卡通,http://124.78.12.70:8686/rtp/233.18.204.113:5140$上海电信
金鹰卡通,http://124.78.12.70:8686/rtp/233.18.204.150:5140$上海电信
快乐垂钓,http://124.78.12.70:8686/rtp/239.45.3.12:5140$上海电信
快乐垂钓,http://124.78.12.70:8686/rtp/233.18.204.42:5140$上海电信
茶频道,http://124.78.12.70:8686/rtp/239.45.3.18:5140$上海电信
茶频道,http://124.78.12.70:8686/rtp/233.18.204.43:5140$上海电信
中国天气,http://124.78.12.70:8686/rtp/239.45.3.141:5140$上海电信
北京纪实科教,http://124.78.12.70:8686/rtp/239.45.1.14:5140$上海电信
卡酷少儿,http://124.78.12.70:8686/rtp/239.45.0.8:5140$上海电信
卡酷少儿,http://124.78.12.70:8686/rtp/239.45.1.49:5140$上海电信
卡酷少儿,http://124.78.12.70:8686/rtp/233.18.204.109:5140$上海电信
卡酷少儿,http://124.78.12.70:8686/rtp/233.18.204.152:5140$上海电信
动漫秀场,http://124.78.12.70:8686/rtp/239.45.3.134:5140$上海电信
动漫秀场,http://124.78.12.70:8686/rtp/233.18.204.46:5140$上海电信
嘉佳卡通,http://124.78.12.70:8686/rtp/239.45.1.48:5140$上海电信
嘉佳卡通,http://124.78.12.70:8686/rtp/233.18.204.151:5140$上海电信
哈哈炫动,http://124.78.12.70:8686/rtp/239.45.1.55:5140$上海电信
哈哈炫动,http://124.78.12.70:8686/rtp/239.45.3.187:5140$上海电信
哈哈炫动,http://124.78.12.70:8686/rtp/233.18.204.7:5140$上海电信
哈哈炫动,http://124.78.12.70:8686/rtp/233.18.204.54:5140$上海电信
金色学堂,http://124.78.12.70:8686/rtp/239.45.0.9:5140$上海电信
金色学堂,http://124.78.12.70:8686/rtp/233.18.204.66:5140$上海电信
乐游,http://124.78.12.70:8686/rtp/239.45.3.135:5140$上海电信
乐游,http://124.78.12.70:8686/rtp/233.18.204.47:5140$上海电信
游戏风云,http://124.78.12.70:8686/rtp/239.45.3.131:5140$上海电信
游戏风云,http://124.78.12.70:8686/rtp/233.18.204.44:5140$上海电信
都市剧场,http://124.78.12.70:8686/rtp/239.45.3.136:5140$上海电信
都市剧场,http://124.78.12.70:8686/rtp/233.18.204.48:5140$上海电信
法治天地,http://124.78.12.70:8686/rtp/239.45.1.46:5140$上海电信
法治天地,http://124.78.12.70:8686/rtp/233.18.204.49:5140$上海电信
生活时尚,http://124.78.12.70:8686/rtp/239.45.3.132:5140$上海电信
生活时尚,http://124.78.12.70:8686/rtp/233.18.204.45:5140$上海电信
先锋乒羽,http://124.78.12.70:8686/rtp/239.45.3.43:5140$上海电信
东方财经,http://124.78.12.70:8686/rtp/239.45.0.17:5140$上海电信
东方财经,http://124.78.12.70:8686/rtp/233.18.204.65:5140$上海电信
家庭理财,http://124.78.12.70:8686/rtp/239.45.0.14:5140$上海电信
家庭理财,http://124.78.12.70:8686/rtp/233.18.204.157:5140$上海电信
财富天下,http://124.78.12.70:8686/rtp/233.18.204.231:5140$上海电信
财富天下,http://124.78.12.70:8686/rtp/233.18.204.41:5140$上海电信
财富天下,http://124.78.12.70:8686/rtp/239.45.0.7:5140$上海电信
中国天气,http://124.78.12.70:8686/rtp/239.45.3.141:5140$上海电信

付费频道,#genre#
风云剧场,http://124.78.12.70:8686/rtp/233.18.204.183:5140$上海电信
风云剧场,http://124.78.12.70:8686/rtp/239.45.0.50:5140$上海电信
怀旧剧场,http://124.78.12.70:8686/rtp/233.18.204.182:5140$上海电信
怀旧剧场,http://124.78.12.70:8686/rtp/239.45.0.49:5140$上海电信
第一剧场,http://124.78.12.70:8686/rtp/233.18.204.184:5140$上海电信
第一剧场,http://124.78.12.70:8686/rtp/239.45.0.51:5140$上海电信
风云足球,http://124.78.12.70:8686/rtp/233.18.204.176:5140$上海电信
风云足球,http://124.78.12.70:8686/rtp/239.45.0.43:5140$上海电信
风云足球,http://124.78.12.70:8686/rtp/239.45.1.75:5140$上海电信
央视台球,http://124.78.12.70:8686/rtp/233.18.204.177:5140$上海电信
央视台球,http://124.78.12.70:8686/rtp/239.45.0.44:5140$上海电信
高尔夫·网球,http://124.78.12.70:8686/rtp/233.18.204.181:5140$上海电信
高尔夫·网球,http://124.78.12.70:8686/rtp/239.45.0.48:5140$上海电信
高尔夫·网球,http://124.78.12.70:8686/rtp/239.45.1.72:5140$上海电信
风云音乐,http://124.78.12.70:8686/rtp/233.18.204.185:5140$上海电信
风云音乐,http://124.78.12.70:8686/rtp/239.45.0.52:5140$上海电信
央视文化精品,http://124.78.12.70:8686/rtp/233.18.204.186:5140$上海电信
央视文化精品,http://124.78.12.70:8686/rtp/239.45.0.53:5140$上海电信
央视文化精品,http://124.78.12.70:8686/rtp/239.45.1.17:5140$上海电信
电视指南,http://124.78.12.70:8686/rtp/239.45.1.73:5140$上海电信
兵器科技,http://124.78.12.70:8686/rtp/233.18.204.178:5140$上海电信
兵器科技,http://124.78.12.70:8686/rtp/239.45.0.45:5140$上海电信
兵器科技,http://124.78.12.70:8686/rtp/239.45.1.74:5140$上海电信
女性时尚,http://124.78.12.70:8686/rtp/233.18.204.180:5140$上海电信
女性时尚,http://124.78.12.70:8686/rtp/239.45.0.47:5140$上海电信
世界地理,http://124.78.12.70:8686/rtp/233.18.204.179:5140$上海电信
世界地理,http://124.78.12.70:8686/rtp/239.45.0.46:5140$上海电信
CHC家庭影院,http://124.78.12.70:8686/rtp/239.45.0.40:5140$上海电信
CHC家庭影院,http://124.78.12.70:8686/rtp/233.18.204.173:5140$上海电信
CHC动作电影,http://124.78.12.70:8686/rtp/239.45.0.41:5140$上海电信
CHC动作电影,http://124.78.12.70:8686/rtp/233.18.204.174:5140$上海电信
CHC影迷电影,http://124.78.12.70:8686/rtp/239.45.0.42:5140$上海电信
CHC影迷电影,http://124.78.12.70:8686/rtp/233.18.204.175:5140$上海电信

高清频道,#genre#
北京卫视4K,http://124.78.12.70:8686/rtp/239.45.3.123:5140$上海电信
北京卫视4K,http://124.78.12.70:8686/rtp/233.18.204.209:5140$上海电信
广东卫视4K,http://124.78.12.70:8686/rtp/233.18.204.218:5140$上海电信
深圳卫视4K,http://124.78.12.70:8686/rtp/233.18.204.219:5140$上海电信
山东卫视4K,http://124.78.12.70:8686/rtp/239.45.3.180:5140$上海电信
浙江卫视4K,http://124.78.12.70:8686/rtp/233.18.204.216:5140$上海电信
江苏卫视4K,http://124.78.12.70:8686/rtp/239.45.1.109:5140$上海电信
东方卫视4K,http://124.78.12.70:8686/rtp/233.18.204.224:5140$上海电信
四川卫视4K,http://124.78.12.70:8686/rtp/239.45.3.48:5140$上海电信

北京频道,#genre#
北京纪实科教,http://124.78.12.70:8686/rtp/239.45.1.14:5140$上海电信

上海频道,#genre#
上海新闻综合,http://124.78.12.70:8686/rtp/239.45.3.209:5140$上海电信
上海新闻综合,http://124.78.12.70:8686/rtp/233.18.204.57:5140$上海电信
五星体育,http://124.78.12.70:8686/rtp/239.45.3.210:5140$上海电信
五星体育,http://124.78.12.70:8686/rtp/233.18.204.58:5140$上海电信
第一财经,http://124.78.12.70:8686/rtp/239.45.3.211:5140$上海电信
第一财经,http://124.78.12.70:8686/rtp/233.18.204.59:5140$上海电信
上海都市,http://124.78.12.70:8686/rtp/239.45.3.236:5140$上海电信
上海都市,http://124.78.12.70:8686/rtp/233.18.204.53:5140$上海电信
东方影视,http://124.78.12.70:8686/rtp/239.45.3.237:5140$上海电信
东方影视,http://124.78.12.70:8686/rtp/233.18.204.55:5140$上海电信
东方财经,http://124.78.12.70:8686/rtp/239.45.0.17:5140$上海电信
东方财经,http://124.78.12.70:8686/rtp/233.18.204.65:5140$上海电信
上海教育,http://124.78.12.70:8686/rtp/239.45.0.13:5140$上海电信
上海教育,http://124.78.12.70:8686/rtp/233.18.204.63:5140$上海电信
欢笑剧场4K,http://124.78.12.70:8686/rtp/239.45.1.4:5140$上海电信
欢笑剧场4K,http://124.78.12.70:8686/rtp/239.45.3.196:5140$上海电信
欢笑剧场4K,http://124.78.12.70:8686/rtp/233.18.204.50:5140$上海电信
欢笑剧场4K,http://124.78.12.70:8686/rtp/233.18.204.115:5140$上海电信
欢笑剧场4K,http://124.78.12.70:8686/rtp/233.18.204.205:5140$上海电信
东方购物1,http://124.78.12.70:8686/rtp/239.45.3.74:5140$上海电信
东方购物2,http://124.78.12.70:8686/rtp/239.45.3.75:5140$上海电信
上海健康养生,http://124.78.12.70:8686/rtp/239.45.1.28:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/239.45.1.1:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/239.45.1.11:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/233.18.204.171:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.9:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.42:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.3.107:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/233.18.204.169:5140$上海电信
BesTV4K纪录,http://124.78.12.70:8686/rtp/239.45.1.10:5140$上海电信
BesTV4K纪录,http://124.78.12.70:8686/rtp/233.18.204.170:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/239.45.1.1:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/239.45.1.11:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/233.18.204.171:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/239.45.1.15:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/239.45.3.240:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/233.18.204.116:5140$上海电信
BesTV人文,http://124.78.12.70:8686/rtp/239.45.1.29:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.9:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.42:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.3.107:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/233.18.204.169:5140$上海电信
BesTV直播1,http://124.78.12.70:8686/rtp/239.45.3.53:5140$上海电信
BesTV直播2,http://124.78.12.70:8686/rtp/239.45.3.54:5140$上海电信
BesTV直播3,http://124.78.12.70:8686/rtp/239.45.3.55:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.9:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.42:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.3.107:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/233.18.204.169:5140$上海电信
BesTV直播4,http://124.78.12.70:8686/rtp/239.45.3.137:5140$上海电信
BesTV直播4,http://124.78.12.70:8686/rtp/233.18.204.159:5140$上海电信
BesTV直播5,http://124.78.12.70:8686/rtp/239.45.3.138:5140$上海电信
BesTV直播6,http://124.78.12.70:8686/rtp/239.45.3.139:5140$上海电信
BesTV直播7,http://124.78.12.70:8686/rtp/239.45.3.140:5140$上海电信
BesTV直播8,http://124.78.12.70:8686/rtp/239.45.3.215:5140$上海电信
BesTV直播9,http://124.78.12.70:8686/rtp/239.45.3.216:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/239.45.1.15:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/239.45.3.240:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/233.18.204.116:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/239.45.1.15:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/239.45.3.240:5140$上海电信
BesTV电影介绍,http://124.78.12.70:8686/rtp/233.18.204.116:5140$上海电信
BesTV直播4,http://124.78.12.70:8686/rtp/239.45.3.137:5140$上海电信
BesTV直播4,http://124.78.12.70:8686/rtp/233.18.204.159:5140$上海电信
BesTV直播10,http://124.78.12.70:8686/rtp/233.18.204.160:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.9:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.1.42:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/239.45.3.107:5140$上海电信
BesTV4K电影,http://124.78.12.70:8686/rtp/233.18.204.169:5140$上海电信
BesTV4K纪录,http://124.78.12.70:8686/rtp/239.45.1.10:5140$上海电信
BesTV4K纪录,http://124.78.12.70:8686/rtp/233.18.204.170:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/239.45.1.1:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/239.45.1.11:5140$上海电信
BesTV4K动画,http://124.78.12.70:8686/rtp/233.18.204.171:5140$上海电信

吉林频道,#genre#
吉林卫视,http://124.78.12.70:8686/rtp/233.18.204.108:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/239.45.0.6:5140$上海电信
吉林卫视,http://124.78.12.70:8686/rtp/239.45.3.248:5140$上海电信

广西频道,#genre#
广西卫视,http://124.78.12.70:8686/rtp/233.18.204.107:5140$上海电信
广西卫视,http://124.78.12.70:8686/rtp/239.45.0.5:5140$上海电信

